term,counts
jobs,99611
nytimes,99442
treat,99384
asked,99366
homes,99301
viral,99230
frente,99221
hate,99197
ada,99145
body,99132
worried,99068
zu,98968
70,98966
donate,98940
ban,98934
ventilators,98912
nicht,98870
quarantined,98818
dios,98762
season,98733
colombia,98536
special,98531
después,98218
04,98198
happening,98104
comment,98091
madrid,97980
date,97931
among,97900
allah,97885
ta,97786
takes,97710
ny,97523
flights,97397
break,97302
clear,97237
higher,97227
gates,97142
conference,97116
recovery,96774
combat,96770
huge,96714
pruebas,96634
release,96617
entire,96593
blood,96414
più,96256
expert,96084
level,96054
stand,96047
continues,95994
er,95946
met,95890
game,95722
médicos,95712
tips,95442
toda,95260
matter,95228
age,95220
wish,95203
mind,95062
ko,95031
water,95025
friday,94740
ao,94708
trust,94653
pass,94492
tous,94475
hydroxychloroquine,94412
guess,94400
apple,94277
ir,94143
lack,94117
contagios,94082
confirms,93959
currently,93838
asking,93826
27,93813
और,93705
28,93669
orders,93572
26,93530
cuba,93497
january,93333
cover,93329
cette,93189
agree,93185
pray,92846
evidence,92707
31,92650
indian,92620
bolsonaro,92524
parents,92379
responsible,92348
up,92318
mental,92162
โคว,91920
lead,91871
dear,91809
oil,91633
mr,91558
society,91450
running,91288
amazon,91258
keeping,91153
marzo,91035
von,90938
