date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force
2020-03-09,47,20,17,25,88,73,86,41,88,30,46,10,71,26,46,55,75,60,21,71,76,81,56,69,55,92,72,61,58,82,18,49,32,13,29,32,39,19,37,78,27,48,26,13,3,26,26,33,88,33,4,25,68,47,27,32,44,23,36,32,11,28,10,7,32,9,44,22,12,28,20,23,66,9,5,100,30,7,36,16,28,29,25,29,5
2020-03-10,52,23,20,28,86,76,78,45,95,32,51,12,72,31,46,57,75,60,27,72,78,80,55,70,48,90,73,58,57,81,21,55,37,15,37,37,56,27,42,80,30,61,33,12,3,30,31,37,89,37,4,27,72,53,22,36,51,30,44,37,12,33,15,9,35,11,46,26,22,33,29,29,66,9,6,59,37,20,38,14,34,30,31,30,14
2020-03-11,61,31,27,34,89,80,74,48,87,35,62,100,75,40,47,60,75,62,27,70,88,81,59,72,48,90,74,61,56,83,28,69,44,96,45,44,44,38,49,80,36,68,48,84,3,34,40,45,94,45,8,33,78,62,37,37,64,33,55,50,80,44,22,11,45,19,56,35,19,44,30,40,71,15,12,29,37,12,97,20,38,25,19,43,13
2020-03-12,91,47,44,50,85,100,67,63,81,76,92,98,100,58,46,85,73,64,41,70,87,78,67,76,45,89,72,75,54,79,45,100,72,100,71,72,41,80,60,82,62,80,63,100,4,56,67,72,88,72,18,45,81,97,100,64,100,48,88,83,100,71,34,18,73,40,100,46,23,71,53,45,83,21,22,58,22,29,96,100,51,89,17,66,7
2020-03-13,91,53,49,54,87,96,68,70,81,100,97,56,98,63,53,85,74,62,43,69,90,79,73,71,44,90,67,66,59,75,52,89,76,49,72,76,39,89,59,76,56,78,65,65,6,60,70,79,89,79,24,50,81,98,88,76,89,49,76,92,63,74,38,17,69,47,75,59,36,74,49,49,80,34,25,40,60,45,78,75,55,78,25,73,8
2020-03-14,83,55,48,55,92,87,49,70,80,65,86,42,86,66,49,73,79,63,44,70,65,85,63,74,43,94,66,60,63,77,50,78,74,37,76,74,44,66,52,66,55,73,79,50,7,56,69,76,76,76,30,55,86,87,77,80,73,54,69,88,47,71,41,21,62,38,81,56,30,71,51,52,73,51,24,34,84,36,64,45,58,95,31,69,19
2020-03-15,100,65,58,64,87,89,43,73,73,53,90,38,86,74,48,79,82,64,48,73,73,83,66,78,45,100,74,65,68,81,61,78,83,38,85,83,42,75,48,73,68,80,70,47,12,63,77,82,83,82,52,62,100,90,65,100,80,52,74,100,44,85,53,33,76,51,93,59,55,85,59,49,79,48,30,34,50,70,66,49,67,44,15,76,25
2020-03-16,94,81,72,77,79,92,72,73,79,60,100,38,99,75,46,100,71,63,44,66,100,85,63,71,45,93,75,81,69,78,75,84,100,39,84,100,47,100,53,76,76,89,85,59,15,83,91,84,97,84,63,61,83,100,69,89,87,50,83,94,67,96,57,55,93,82,98,69,48,96,75,73,83,44,31,29,79,74,88,48,65,46,22,92,55
2020-03-17,88,79,76,78,87,93,75,81,80,52,95,38,89,76,46,93,74,65,42,71,97,86,62,76,45,92,83,85,69,79,77,77,91,39,81,91,45,90,62,72,70,81,100,51,15,89,91,92,77,92,66,66,77,96,79,79,70,42,79,90,56,93,57,51,81,79,88,72,55,93,72,73,77,51,37,39,65,60,77,55,72,62,32,92,41
2020-03-18,90,81,76,81,85,94,72,91,73,62,92,36,96,79,44,94,77,68,41,71,95,93,64,77,45,91,89,94,72,82,78,70,94,37,84,94,47,77,67,71,67,80,76,54,15,100,86,100,82,100,73,75,74,93,76,72,71,41,78,86,55,89,60,76,75,80,91,69,62,89,80,48,76,52,46,69,37,73,80,50,78,52,44,99,40
2020-03-19,84,80,80,95,83,95,65,88,76,60,90,35,95,80,47,90,77,67,42,74,89,94,63,76,46,91,86,100,73,80,80,66,91,35,84,91,61,68,66,71,76,84,85,51,16,84,86,90,80,90,77,79,74,87,83,65,66,39,79,85,59,90,63,64,80,77,75,71,73,90,79,60,81,69,51,0,80,100,73,43,82,55,32,93,36
2020-03-20,81,85,82,88,84,95,68,84,77,57,86,34,93,85,53,93,77,68,38,74,82,90,69,78,44,94,88,89,84,83,82,66,91,33,89,91,73,72,61,91,80,93,72,55,68,86,88,82,100,82,89,82,72,86,85,66,65,34,84,80,45,91,69,76,83,78,69,91,74,91,77,81,78,54,56,68,43,75,76,45,77,55,19,94,39
2020-03-21,83,88,87,90,78,94,52,82,76,54,87,35,85,94,56,82,84,71,43,73,69,92,74,82,43,96,86,79,83,84,88,63,95,34,98,95,47,55,54,88,94,96,78,54,45,78,93,87,74,87,93,91,76,86,80,67,65,44,100,75,55,95,78,53,95,63,71,89,86,95,77,79,81,70,55,65,49,65,72,42,89,59,19,92,58
2020-03-22,89,96,94,92,84,98,44,83,76,51,87,37,84,97,55,95,86,70,38,72,74,92,77,85,44,99,86,81,85,85,93,67,97,38,100,97,53,58,57,93,100,100,65,55,74,75,100,85,77,85,90,100,80,88,81,63,69,39,100,76,53,100,86,80,96,75,71,100,84,100,79,84,95,70,54,54,40,78,74,40,100,64,27,100,76
2020-03-23,79,100,99,100,87,93,63,76,77,48,80,33,85,94,51,98,79,69,33,74,93,95,77,83,45,97,95,94,90,86,100,63,97,33,92,97,50,65,56,88,86,94,74,55,100,83,96,75,78,75,87,93,59,82,79,57,62,30,92,74,55,95,84,100,84,100,83,82,92,95,100,89,90,82,57,27,47,83,74,33,95,55,18,98,100
2020-03-24,72,93,96,94,87,95,61,100,76,51,85,31,83,94,52,89,81,68,36,74,86,94,79,81,44,93,95,95,89,85,95,56,87,34,91,87,30,48,53,86,82,91,73,58,97,78,90,73,79,73,74,96,54,73,68,53,56,29,89,68,64,89,93,88,85,84,63,82,84,89,83,72,87,79,52,38,100,79,68,35,92,43,17,98,68
2020-03-25,70,89,93,91,83,98,63,83,77,50,75,27,90,93,52,82,83,74,31,76,84,90,79,83,44,95,97,87,88,86,94,50,85,30,94,85,49,37,44,91,93,94,58,47,81,77,92,64,65,64,69,99,55,67,76,50,52,28,99,62,52,89,92,79,100,75,72,66,82,89,76,54,98,74,63,39,44,73,62,42,97,69,19,92,52
2020-03-26,67,90,94,89,87,99,60,78,76,46,68,27,92,94,52,78,84,75,31,77,82,97,83,85,44,97,100,89,83,89,91,43,80,31,95,80,53,33,48,95,87,93,51,57,67,65,91,67,57,67,67,93,55,65,67,50,47,29,87,63,57,88,95,79,89,70,58,72,86,88,70,66,95,69,56,59,44,44,61,30,92,41,15,94,45
2020-03-27,70,95,99,93,89,98,62,77,78,51,64,29,92,100,53,75,86,75,29,78,81,93,91,85,45,99,92,87,85,85,94,42,81,36,96,81,53,31,41,97,83,88,56,56,62,64,91,63,66,63,70,91,54,61,84,49,49,25,87,64,56,87,99,77,85,68,58,72,98,87,76,57,100,82,73,57,21,52,63,48,85,100,15,90,32
